extension,percentage,total
str10360,1.8053849216056732e-06,4
str10366,9.026924608028366e-07,2
str10367,9.026924608028366e-07,2
str10370,9.026924608028366e-07,2
str10372,9.026924608028366e-07,2
str10375,9.026924608028366e-07,2
str10376,9.026924608028366e-07,2
str1039,1.8053849216056732e-06,4
str104,2.70807738240851e-06,6
str10400,9.026924608028366e-07,2
str1041,9.026924608028366e-07,2
str10410,1.8053849216056732e-06,4
str1042,9.026924608028366e-07,2
str1043,9.026924608028366e-07,2
str10437,1.8053849216056732e-06,4
str10440,1.8053849216056732e-06,4
str10451,9.026924608028366e-07,2
str105,2.70807738240851e-06,6
str1050,1.8053849216056732e-06,4
str10508,1.8053849216056732e-06,4
str1051,9.026924608028366e-07,2
str1052,2.70807738240851e-06,6
str10523,1.8053849216056732e-06,4
str10525,1.8053849216056732e-06,4
str10535,1.8053849216056732e-06,4
str1055,1.8053849216056732e-06,4
str1059,9.026924608028366e-07,2
str10591,1.8053849216056732e-06,4
str106,2.70807738240851e-06,6
str106026,9.026924608028366e-07,2
str10610,1.8053849216056732e-06,4
str10681,9.026924608028366e-07,2
str10688,1.8053849216056732e-06,4
str1069,2.70807738240851e-06,6
str10695,2.70807738240851e-06,6
str107,2.70807738240851e-06,6
str1070,9.026924608028366e-07,2
str10721,1.8053849216056732e-06,4
str10735,1.8053849216056732e-06,4
str1074,9.026924608028366e-07,2
str10742,9.026924608028366e-07,2
str10756,1.8053849216056732e-06,4
str10769,9.026924608028366e-07,2
str10775,9.026924608028366e-07,2
str10778,1.8053849216056732e-06,4
str1078,9.026924608028366e-07,2
str10781,1.8053849216056732e-06,4
str108,2.70807738240851e-06,6
str10806,1.8053849216056732e-06,4
str10818,1.8053849216056732e-06,4
str1082,1.8053849216056732e-06,4
str10823,1.8053849216056732e-06,4
str10825,9.026924608028366e-07,2
str1083,9.026924608028366e-07,2
str10831,9.026924608028366e-07,2
str10846,9.026924608028366e-07,2
str10847,9.026924608028366e-07,2
str10848,1.8053849216056732e-06,4
str10850,1.8053849216056732e-06,4
str10858,9.026924608028366e-07,2
str109,2.70807738240851e-06,6
str1099,1.8053849216056732e-06,4
str11,2.70807738240851e-06,6
str110,2.70807738240851e-06,6
str1105,9.026924608028366e-07,2
str1107,9.026924608028366e-07,2
str111,2.70807738240851e-06,6
str1110,1.8053849216056732e-06,4
str1112,9.026924608028366e-07,2
str1113,9.026924608028366e-07,2
str1114,9.026924608028366e-07,2
str1115,9.026924608028366e-07,2
str1116,9.026924608028366e-07,2
str1118,9.026924608028366e-07,2
str112,2.70807738240851e-06,6
str1123,1.8053849216056732e-06,4
str1127,1.8053849216056732e-06,4
str1129,9.026924608028366e-07,2
str113,2.70807738240851e-06,6
str1131,1.8053849216056732e-06,4
str1133,9.026924608028366e-07,2
str1134,9.026924608028366e-07,2
str1135,2.70807738240851e-06,6
str114,2.70807738240851e-06,6
str115,2.70807738240851e-06,6
str1156,9.026924608028366e-07,2
str116,2.70807738240851e-06,6
str116335,9.026924608028366e-07,2
str116976,9.026924608028366e-07,2
str117,2.70807738240851e-06,6
str117385,9.026924608028366e-07,2
str117853,9.026924608028366e-07,2
str118,2.70807738240851e-06,6
str119,2.70807738240851e-06,6
str119284,9.026924608028366e-07,2
str12,2.70807738240851e-06,6
str120,2.70807738240851e-06,6
str120480,9.026924608028366e-07,2
str120683,9.026924608028366e-07,2
str120751,9.026924608028366e-07,2
str120802,9.026924608028366e-07,2
str120899,9.026924608028366e-07,2
str121,2.70807738240851e-06,6
str121649,9.026924608028366e-07,2
str122,2.70807738240851e-06,6
str12202,9.026924608028366e-07,2
str122551,9.026924608028366e-07,2
str122629,9.026924608028366e-07,2
str122834,9.026924608028366e-07,2
str122884,9.026924608028366e-07,2
str123,2.70807738240851e-06,6
str123001,9.026924608028366e-07,2
str123007,9.026924608028366e-07,2
str123015,9.026924608028366e-07,2
str123026,9.026924608028366e-07,2
str123027,9.026924608028366e-07,2
str123035,9.026924608028366e-07,2
str123060,9.026924608028366e-07,2
str123063,9.026924608028366e-07,2
str123367,9.026924608028366e-07,2
str1234,2.70807738240851e-06,6
str123519,9.026924608028366e-07,2
str124,2.70807738240851e-06,6
str124175,9.026924608028366e-07,2
str125,2.70807738240851e-06,6
str125994,9.026924608028366e-07,2
str126,2.70807738240851e-06,6
str126759,9.026924608028366e-07,2
str127,2.70807738240851e-06,6
str128,2.70807738240851e-06,6
str1284,1.8053849216056732e-06,4
str128850,9.026924608028366e-07,2
str129,2.70807738240851e-06,6
str1295,9.026924608028366e-07,2
str13,2.70807738240851e-06,6
str130,2.70807738240851e-06,6
str130215,9.026924608028366e-07,2
str1305,1.8053849216056732e-06,4
str130668,9.026924608028366e-07,2
str1308,1.8053849216056732e-06,4
str131,2.70807738240851e-06,6
str1315,1.8053849216056732e-06,4
str131623,9.026924608028366e-07,2
str131635,9.026924608028366e-07,2
str131962,9.026924608028366e-07,2
str132,2.70807738240851e-06,6
str132235,9.026924608028366e-07,2
str132545,9.026924608028366e-07,2
str132585,9.026924608028366e-07,2
str132586,9.026924608028366e-07,2
str1326,1.8053849216056732e-06,4
str132768,9.026924608028366e-07,2
str132792,9.026924608028366e-07,2
str132847,9.026924608028366e-07,2
str132881,9.026924608028366e-07,2
str133,2.70807738240851e-06,6
str1330,1.8053849216056732e-06,4
str133228,1.8053849216056732e-06,4
str133231,9.026924608028366e-07,2
str133279,9.026924608028366e-07,2
str133283,9.026924608028366e-07,2
str133295,9.026924608028366e-07,2
str133300,9.026924608028366e-07,2
str133330,9.026924608028366e-07,2
str133346,9.026924608028366e-07,2
str133354,9.026924608028366e-07,2
str1334,1.8053849216056732e-06,4
str1335,9.026924608028366e-07,2
str134,2.70807738240851e-06,6
str135,2.70807738240851e-06,6
str1351,1.8053849216056732e-06,4
str136,2.70807738240851e-06,6
str137,2.70807738240851e-06,6
str138,2.70807738240851e-06,6
str139,2.70807738240851e-06,6
str1394,1.8053849216056732e-06,4
str13957,9.026924608028366e-07,2
str14,2.70807738240851e-06,6
str140,2.70807738240851e-06,6
str141,2.70807738240851e-06,6
str1411,1.8053849216056732e-06,4
str142,2.70807738240851e-06,6
str142298,9.026924608028366e-07,2
str143,2.70807738240851e-06,6
str143210,9.026924608028366e-07,2
str143493,9.026924608028366e-07,2
str143494,9.026924608028366e-07,2
str1436,1.8053849216056732e-06,4
str144,2.70807738240851e-06,6
str144042,9.026924608028366e-07,2
str144044,9.026924608028366e-07,2
str1441,9.026924608028366e-07,2
str144182,1.8053849216056732e-06,4
str144198,9.026924608028366e-07,2
str14428,9.026924608028366e-07,2
str144790,9.026924608028366e-07,2
str145,2.70807738240851e-06,6
str145370,9.026924608028366e-07,2
str1455,1.8053849216056732e-06,4
str145804,9.026924608028366e-07,2
str145818,9.026924608028366e-07,2
str146,2.70807738240851e-06,6
str146318,9.026924608028366e-07,2
str146342,9.026924608028366e-07,2
str146618,9.026924608028366e-07,2
str146626,9.026924608028366e-07,2
str146738,9.026924608028366e-07,2
str146740,9.026924608028366e-07,2
str1468,1.8053849216056732e-06,4
str146887,9.026924608028366e-07,2
str147,2.70807738240851e-06,6
str147018,9.026924608028366e-07,2
str147046,9.026924608028366e-07,2
str147050,9.026924608028366e-07,2
str147190,9.026924608028366e-07,2
str147286,9.026924608028366e-07,2
str147363,9.026924608028366e-07,2
str147390,9.026924608028366e-07,2
str147549,9.026924608028366e-07,2
str148,2.70807738240851e-06,6
str148728,9.026924608028366e-07,2
str148764,9.026924608028366e-07,2
str148930,9.026924608028366e-07,2
str149,2.70807738240851e-06,6
str149917,9.026924608028366e-07,2
str15,2.70807738240851e-06,6
str150,2.70807738240851e-06,6
str150120,9.026924608028366e-07,2
str150244,9.026924608028366e-07,2
str1505,9.026924608028366e-07,2
str150520,9.026924608028366e-07,2
str150605,9.026924608028366e-07,2
str150668,9.026924608028366e-07,2
str150669,9.026924608028366e-07,2
str150737,9.026924608028366e-07,2
str150748,9.026924608028366e-07,2
str150749,9.026924608028366e-07,2
str151,2.70807738240851e-06,6
str151130,9.026924608028366e-07,2
str151131,9.026924608028366e-07,2
str1512,9.026924608028366e-07,2
str151212,9.026924608028366e-07,2
str151220,9.026924608028366e-07,2
str151231,9.026924608028366e-07,2
str151242,9.026924608028366e-07,2
str151285,9.026924608028366e-07,2
str151293,9.026924608028366e-07,2
str151329,9.026924608028366e-07,2
str151352,9.026924608028366e-07,2
str151411,9.026924608028366e-07,2
str151715,9.026924608028366e-07,2
str151726,9.026924608028366e-07,2
str151727,9.026924608028366e-07,2
str151728,9.026924608028366e-07,2
str151730,9.026924608028366e-07,2
str151742,9.026924608028366e-07,2
str151841,9.026924608028366e-07,2
str152,2.70807738240851e-06,6
str152032,9.026924608028366e-07,2
str152394,9.026924608028366e-07,2
str152410,9.026924608028366e-07,2
str152434,9.026924608028366e-07,2
str152795,9.026924608028366e-07,2
str153,2.70807738240851e-06,6
str153060,9.026924608028366e-07,2
str15320,9.026924608028366e-07,2
str15335,9.026924608028366e-07,2
str153398,9.026924608028366e-07,2
str1534,2.70807738240851e-06,6
str153784,9.026924608028366e-07,2
str1539,1.8053849216056732e-06,4
str154,2.70807738240851e-06,6
str154128,9.026924608028366e-07,2
str154129,9.026924608028366e-07,2
str154200,9.026924608028366e-07,2
str154264,9.026924608028366e-07,2
str154265,1.8053849216056732e-06,4
str154308,9.026924608028366e-07,2
str154351,9.026924608028366e-07,2
str154375,9.026924608028366e-07,2
str154395,9.026924608028366e-07,2
str154397,9.026924608028366e-07,2
str154439,9.026924608028366e-07,2
str15451,9.026924608028366e-07,2
str154518,9.026924608028366e-07,2
str154541,9.026924608028366e-07,2
str154599,9.026924608028366e-07,2
str154650,9.026924608028366e-07,2
str154659,9.026924608028366e-07,2
str154665,1.8053849216056732e-06,4
str154679,1.8053849216056732e-06,4
str154683,9.026924608028366e-07,2
str154685,9.026924608028366e-07,2
str154690,9.026924608028366e-07,2
str154695,9.026924608028366e-07,2
str154697,9.026924608028366e-07,2
str154699,1.8053849216056732e-06,4
str154700,9.026924608028366e-07,2
str154733,1.8053849216056732e-06,4
str154735,1.8053849216056732e-06,4
str154867,9.026924608028366e-07,2
str154904,9.026924608028366e-07,2
str155,2.70807738240851e-06,6
str15515,9.026924608028366e-07,2
str15517,9.026924608028366e-07,2
str155275,1.8053849216056732e-06,4
str155291,9.026924608028366e-07,2
str155350,9.026924608028366e-07,2
str1556,1.8053849216056732e-06,4
str1557,1.8053849216056732e-06,4
str155719,9.026924608028366e-07,2
str155817,9.026924608028366e-07,2
str15582,9.026924608028366e-07,2
str156,2.70807738240851e-06,6
str156351,9.026924608028366e-07,2
str15636,9.026924608028366e-07,2
str156379,9.026924608028366e-07,2
str156429,9.026924608028366e-07,2
str15643,9.026924608028366e-07,2
str15680,9.026924608028366e-07,2
str157,2.70807738240851e-06,6
str157079,9.026924608028366e-07,2
str1571,1.8053849216056732e-06,4
str157231,9.026924608028366e-07,2
str157259,9.026924608028366e-07,2
str157299,1.8053849216056732e-06,4
str157309,1.8053849216056732e-06,4
str157317,9.026924608028366e-07,2
str157319,9.026924608028366e-07,2
str157323,1.8053849216056732e-06,4
str15760,1.8053849216056732e-06,4
str15764,1.8053849216056732e-06,4
str15765,2.70807738240851e-06,6
str157652,9.026924608028366e-07,2
str157830,9.026924608028366e-07,2
str157840,9.026924608028366e-07,2
str157841,9.026924608028366e-07,2
str157845,9.026924608028366e-07,2
str157846,9.026924608028366e-07,2
str157850,9.026924608028366e-07,2
str157852,1.8053849216056732e-06,4
str157856,1.8053849216056732e-06,4
str157858,9.026924608028366e-07,2
str157859,1.8053849216056732e-06,4
str157860,1.8053849216056732e-06,4
str158,2.70807738240851e-06,6
str158295,1.8053849216056732e-06,4
str15843,9.026924608028366e-07,2
str15890,9.026924608028366e-07,2
str159,2.70807738240851e-06,6
str15902,2.70807738240851e-06,6
str159489,9.026924608028366e-07,2
str159555,9.026924608028366e-07,2
str16,2.70807738240851e-06,6
str160,2.70807738240851e-06,6
str16005,9.026924608028366e-07,2
str160053,9.026924608028366e-07,2
str160139,9.026924608028366e-07,2
str160363,9.026924608028366e-07,2
str160368,9.026924608028366e-07,2
str160426,9.026924608028366e-07,2
str160465,1.8053849216056732e-06,4
str160482,2.70807738240851e-06,6
str160491,9.026924608028366e-07,2
str160492,1.8053849216056732e-06,4
str160506,1.8053849216056732e-06,4
str16053,9.026924608028366e-07,2
str160539,9.026924608028366e-07,2
str160544,9.026924608028366e-07,2
str160549,1.8053849216056732e-06,4
str160559,9.026924608028366e-07,2
str160561,9.026924608028366e-07,2
str160564,9.026924608028366e-07,2
str160589,9.026924608028366e-07,2
str160598,9.026924608028366e-07,2
str160605,1.8053849216056732e-06,4
str160616,9.026924608028366e-07,2
str160619,9.026924608028366e-07,2
str160623,9.026924608028366e-07,2
str160626,9.026924608028366e-07,2
str160629,9.026924608028366e-07,2
str160632,9.026924608028366e-07,2
str160646,9.026924608028366e-07,2
str160648,1.8053849216056732e-06,4
str160649,9.026924608028366e-07,2
str160652,9.026924608028366e-07,2
str160657,1.8053849216056732e-06,4
str160664,9.026924608028366e-07,2
str160669,2.70807738240851e-06,6
str160672,1.8053849216056732e-06,4
str160673,9.026924608028366e-07,2
str160674,9.026924608028366e-07,2
str160677,1.8053849216056732e-06,4
str160678,1.8053849216056732e-06,4
str160679,9.026924608028366e-07,2
str160681,2.70807738240851e-06,6
str160682,2.70807738240851e-06,6
str160683,2.70807738240851e-06,6
str16073,9.026924608028366e-07,2
str16078,9.026924608028366e-07,2
str16088,9.026924608028366e-07,2
str16090,9.026924608028366e-07,2
str16091,9.026924608028366e-07,2
str16094,9.026924608028366e-07,2
str160945,9.026924608028366e-07,2
str16098,9.026924608028366e-07,2
str161,2.70807738240851e-06,6
str16114,9.026924608028366e-07,2
str161277,9.026924608028366e-07,2
str16135,9.026924608028366e-07,2
str161383,1.8053849216056732e-06,4
str161389,9.026924608028366e-07,2
str161394,9.026924608028366e-07,2
str161412,9.026924608028366e-07,2
str161414,9.026924608028366e-07,2
str161415,9.026924608028366e-07,2
str161438,9.026924608028366e-07,2
str161439,9.026924608028366e-07,2
str161595,9.026924608028366e-07,2
str1616,1.8053849216056732e-06,4
str161606,9.026924608028366e-07,2
str161672,9.026924608028366e-07,2
str161679,9.026924608028366e-07,2
str161715,9.026924608028366e-07,2
str161747,9.026924608028366e-07,2
str161757,2.70807738240851e-06,6
str161764,9.026924608028366e-07,2
str161780,9.026924608028366e-07,2
str16179,9.026924608028366e-07,2
str161793,9.026924608028366e-07,2
str161917,9.026924608028366e-07,2
str161918,9.026924608028366e-07,2
str161919,9.026924608028366e-07,2
str162,2.70807738240851e-06,6
str162089,9.026924608028366e-07,2
str162104,9.026924608028366e-07,2
str162108,9.026924608028366e-07,2
str162142,9.026924608028366e-07,2
str162169,9.026924608028366e-07,2
str162201,9.026924608028366e-07,2
str162206,9.026924608028366e-07,2
str162223,9.026924608028366e-07,2
str162257,9.026924608028366e-07,2
str162260,9.026924608028366e-07,2
str162384,9.026924608028366e-07,2
str162386,9.026924608028366e-07,2
str162394,9.026924608028366e-07,2
str162430,9.026924608028366e-07,2
str162569,9.026924608028366e-07,2
str162576,9.026924608028366e-07,2
str162578,9.026924608028366e-07,2
str162599,9.026924608028366e-07,2
str162690,9.026924608028366e-07,2
str162780,9.026924608028366e-07,2
str162787,1.8053849216056732e-06,4
str162791,9.026924608028366e-07,2
str162808,9.026924608028366e-07,2
str162882,9.026924608028366e-07,2
str162883,9.026924608028366e-07,2
str162884,9.026924608028366e-07,2
str162887,9.026924608028366e-07,2
str162890,9.026924608028366e-07,2
str162891,9.026924608028366e-07,2
str162981,9.026924608028366e-07,2
str163,2.70807738240851e-06,6
str163015,9.026924608028366e-07,2
str163267,9.026924608028366e-07,2
str163368,9.026924608028366e-07,2
str163371,9.026924608028366e-07,2
str163373,1.8053849216056732e-06,4
str1636,9.026924608028366e-07,2
str1639,9.026924608028366e-07,2
str164,2.70807738240851e-06,6
str1641,9.026924608028366e-07,2
str1642,1.8053849216056732e-06,4
str1648,2.70807738240851e-06,6
str165,2.70807738240851e-06,6
str166,2.70807738240851e-06,6
str16648,9.026924608028366e-07,2
str167,2.70807738240851e-06,6
str1671,1.8053849216056732e-06,4
str1673,1.8053849216056732e-06,4
str168,2.70807738240851e-06,6
str169,2.70807738240851e-06,6
str17,2.70807738240851e-06,6
str170,2.70807738240851e-06,6
str17049,9.026924608028366e-07,2
str17061,9.026924608028366e-07,2
str171,2.70807738240851e-06,6
str172,2.70807738240851e-06,6
str1725,1.8053849216056732e-06,4
str173,2.70807738240851e-06,6
str1734,1.8053849216056732e-06,4
str174,2.70807738240851e-06,6
str1742,9.026924608028366e-07,2
str175,2.70807738240851e-06,6
str1750,1.8053849216056732e-06,4
str176,2.70807738240851e-06,6
str177,2.70807738240851e-06,6
str1778,1.8053849216056732e-06,4
str178,2.70807738240851e-06,6
str1784,1.8053849216056732e-06,4
str179,2.70807738240851e-06,6
str1795,1.8053849216056732e-06,4
str18,2.70807738240851e-06,6
str180,2.70807738240851e-06,6
str1803,2.70807738240851e-06,6
str1806,2.70807738240851e-06,6
str1808,9.026924608028366e-07,2
str181,2.70807738240851e-06,6
str1811,1.8053849216056732e-06,4
str18195,9.026924608028366e-07,2
str182,2.70807738240851e-06,6
str183,2.70807738240851e-06,6
str1835,1.8053849216056732e-06,4
str184,2.70807738240851e-06,6
str185,2.70807738240851e-06,6
str186,2.70807738240851e-06,6
str1863,1.8053849216056732e-06,4
str187,2.70807738240851e-06,6
str1876,1.8053849216056732e-06,4
str1879,1.8053849216056732e-06,4
str188,2.70807738240851e-06,6
str1887,1.8053849216056732e-06,4
str189,2.70807738240851e-06,6
str1896,9.026924608028366e-07,2
str19,2.70807738240851e-06,6
str190,2.70807738240851e-06,6
str191,2.70807738240851e-06,6
str19173,9.026924608028366e-07,2
str192,2.70807738240851e-06,6
str1924,1.8053849216056732e-06,4
str193,2.70807738240851e-06,6
str194,2.70807738240851e-06,6
str195,2.70807738240851e-06,6
str1954,1.8053849216056732e-06,4
str1957,1.8053849216056732e-06,4
str196,2.70807738240851e-06,6
str1962,1.8053849216056732e-06,4
str1963,1.8053849216056732e-06,4
str197,2.70807738240851e-06,6
str198,2.70807738240851e-06,6
str1981,2.70807738240851e-06,6
str1982,1.8053849216056732e-06,4
str1984,1.8053849216056732e-06,4
str199,2.70807738240851e-06,6
str1996,1.8053849216056732e-06,4
str20,2.70807738240851e-06,6
str200,2.70807738240851e-06,6
str2008,1.8053849216056732e-06,4
str201,1.8053849216056732e-06,4
str2013,1.8053849216056732e-06,4
str2014,1.8053849216056732e-06,4
str2016,1.8053849216056732e-06,4
str2017,9.026924608028366e-07,2
str2019,9.026924608028366e-07,2
str202,1.8053849216056732e-06,4
str203,2.70807738240851e-06,6
str2032,9.026924608028366e-07,2
str204,1.8053849216056732e-06,4
str205,1.8053849216056732e-06,4
str2050,1.8053849216056732e-06,4
str2059,1.8053849216056732e-06,4
str206,1.8053849216056732e-06,4
str2069,1.8053849216056732e-06,4
str207,2.70807738240851e-06,6
str208,1.8053849216056732e-06,4
str2083,9.026924608028366e-07,2
str2085,1.8053849216056732e-06,4
str209,2.70807738240851e-06,6
str21,2.70807738240851e-06,6
str210,1.8053849216056732e-06,4
str211,1.8053849216056732e-06,4
str212,1.8053849216056732e-06,4
str2126,9.026924608028366e-07,2
str213,1.8053849216056732e-06,4
str2132,9.026924608028366e-07,2
str214,1.8053849216056732e-06,4
str215,1.8053849216056732e-06,4
str216,1.8053849216056732e-06,4
str2160,2.70807738240851e-06,6
str2165,9.026924608028366e-07,2
str2167,1.8053849216056732e-06,4
str2168,1.8053849216056732e-06,4
str217,1.8053849216056732e-06,4
str2171,9.026924608028366e-07,2
str218,1.8053849216056732e-06,4
str219,1.8053849216056732e-06,4
str22,2.70807738240851e-06,6
str220,1.8053849216056732e-06,4
str221,2.70807738240851e-06,6
str222,1.8053849216056732e-06,4
str223,1.8053849216056732e-06,4
str224,1.8053849216056732e-06,4
str2240,1.8053849216056732e-06,4
str22407,9.026924608028366e-07,2
str2242,9.026924608028366e-07,2
str2248,9.026924608028366e-07,2
str225,1.8053849216056732e-06,4
str2250,9.026924608028366e-07,2
str2253,9.026924608028366e-07,2
str226,2.70807738240851e-06,6
str2265,9.026924608028366e-07,2
str2267,1.8053849216056732e-06,4
str2269,9.026924608028366e-07,2
str227,2.70807738240851e-06,6
str2270,9.026924608028366e-07,2
str2274,9.026924608028366e-07,2
str228,1.8053849216056732e-06,4
str2289,9.026924608028366e-07,2
str229,1.8053849216056732e-06,4
str23,2.70807738240851e-06,6
str230,1.8053849216056732e-06,4
str2301,9.026924608028366e-07,2
str2304,9.026924608028366e-07,2
str2306,9.026924608028366e-07,2
str2308,9.026924608028366e-07,2
str231,1.8053849216056732e-06,4
str2311,9.026924608028366e-07,2
str232,1.8053849216056732e-06,4
str2322,1.8053849216056732e-06,4
str2323,1.8053849216056732e-06,4
str233,1.8053849216056732e-06,4
str23308,1.8053849216056732e-06,4
str234,2.70807738240851e-06,6
str2343,9.026924608028366e-07,2
str2346,9.026924608028366e-07,2
str235,1.8053849216056732e-06,4
str23582,9.026924608028366e-07,2
str236,1.8053849216056732e-06,4
str2367,1.8053849216056732e-06,4
str237,1.8053849216056732e-06,4
str238,2.70807738240851e-06,6
str2385,1.8053849216056732e-06,4
str239,1.8053849216056732e-06,4
str24,2.70807738240851e-06,6
str240,1.8053849216056732e-06,4
str241,2.70807738240851e-06,6
str242,1.8053849216056732e-06,4
str243,1.8053849216056732e-06,4
str244,1.8053849216056732e-06,4
str245,1.8053849216056732e-06,4
str2452,1.8053849216056732e-06,4
str2453,1.8053849216056732e-06,4
str246,1.8053849216056732e-06,4
str247,1.8053849216056732e-06,4
str2473,1.8053849216056732e-06,4
str248,1.8053849216056732e-06,4
str249,1.8053849216056732e-06,4
str25,2.70807738240851e-06,6
str250,1.8053849216056732e-06,4
str251,1.8053849216056732e-06,4
str25107,9.026924608028366e-07,2
str252,1.8053849216056732e-06,4
str2525,1.8053849216056732e-06,4
str253,1.8053849216056732e-06,4
str2531,1.8053849216056732e-06,4
str254,1.8053849216056732e-06,4
str255,1.8053849216056732e-06,4
str256,1.8053849216056732e-06,4
str2564,1.8053849216056732e-06,4
str25640,9.026924608028366e-07,2
str25644,9.026924608028366e-07,2
str25645,9.026924608028366e-07,2
str25647,9.026924608028366e-07,2
str2565,1.8053849216056732e-06,4
str257,1.8053849216056732e-06,4
str2574,1.8053849216056732e-06,4
