extension,size_percentage,total
str10376,5.0797924382962374e-08,338898
str1039,1.035852625118408e-05,69106836
str104,2.801214305554745e-05,186882818
str10400,3.3093191884268474e-07,2207810
str1041,5.072852462554477e-07,3384350
str10410,2.5006780115244214e-06,16683256
str1042,1.955184526469207e-07,1304400
str1043,5.951669235199332e-07,3970652
str10437,1.3685422314673169e-06,9130220
str10440,1.636622852076112e-06,10918718
str10451,1.9158380117346033e-07,1278150
str105,1.1742040243709497e-05,78336940
str1050,2.2194144348359753e-06,14806808
str10508,6.248439985329238e-06,41686424
str1051,4.818510595650613e-07,3214666
str1052,1.013821634653318e-06,6763704
str10523,7.907811868038762e-06,52756912
str10525,1.7478570230914252e-06,11660816
str10535,2.1155315417964484e-06,14113754
str1055,7.242288879428817e-07,4831688
str1059,1.4711675349501835e-05,98148840
str10591,3.4028556718432474e-06,22702128
str106,1.7357754696413738e-06,11580214
str106026,7.171060445897832e-07,4784168
str10610,8.897217978531738e-06,59357728
str10681,1.6818514084534404e-07,1122046
str10688,2.24349090445792e-06,14967434
str1069,2.2890848962749546e-06,15271614
str10695,1.5716065212371685e-06,10484962
str107,1.882955417386343e-06,12562124
str1070,3.460964403501126e-07,2308980
str10721,2.6490427015644854e-06,17673070
str10735,2.232662144037018e-06,14895190
str1074,3.3141906616797027e-07,2211060
str10742,1.7666600104985398e-07,1178626
str10756,1.0334253423717174e-06,6894490
str10769,1.7100250119182634e-07,1140842
str10775,1.7100250119182634e-07,1140842
str10778,5.996001140715166e-07,4000228
str1078,3.1671770934827543e-07,2112980
str10781,1.6775375315236808e-07,1119168
str108,6.590350855860497e-07,4396748
str10806,3.620102693895721e-06,24151490
str10818,1.5756670815577796e-06,10512052
str1082,6.177249924018337e-07,4121148
str10823,1.8491392988713507e-06,12336520
str10825,8.77203940269448e-08,585226
str1083,3.02579344945126e-07,2018656
str10831,8.491322630142231e-08,566498
str10846,7.774241767321878e-08,518658
str10847,1.710090964171533e-07,1140886
str10848,1.76869553686081e-07,1179984
str10850,1.7673435156687866e-07,1179082
str10858,7.930038976522438e-08,529052
str109,1.059122138943304e-06,7065926
str1099,4.5216385188770476e-07,3016608
str11,4.5121833640219664e-07,3010300
str110,2.3005950633853174e-06,15348404
str1105,2.6083066927666826e-07,1740130
str1107,6.127105226725711e-07,4087694
str111,1.1563827062754535e-05,77147992
str1110,6.338865021306168e-06,42289694
str1112,2.25058766669268e-07,1501478
str1113,2.2505217144394104e-07,1501434
str1114,5.548296260714414e-07,3701542
str1115,2.1360525854012318e-07,1425066
str1116,1.8765244731266347e-07,1251922
str1118,2.994645998929924e-07,1997876
str112,2.8720263705195212e-06,19160704
str1123,4.578741178889598e-07,3054704
str1127,5.385945795802628e-06,35932300
str1129,3.0961854884976004e-07,2065618
str113,4.990073391212259e-07,3329124
str1131,1.438290636478342e-06,9595546
str1133,3.00229046464979e-07,2002976
str1134,2.5881942533492e-07,1726712
str1135,5.068196833039595e-07,3381244
str114,1.1472163623330986e-05,76536460
str115,1.8590890956259525e-06,12402900
str1156,8.611085926420129e-07,5744880
str116,2.915109679967777e-06,19448134
str116335,3.553129679615461e-07,2370468
str116976,6.97769443497125e-07,4655164
str117,3.189321761649843e-06,21277538
str117385,3.448379514445441e-07,2300584
str117853,6.962183664134157e-07,4644816
str118,1.9343469120487304e-06,12904982
str119,1.683640213431889e-06,11232394
str119284,3.5481113127075965e-07,2367120
str12,7.10790216990327e-07,4742032
str120,6.340378925301671e-06,42299794
str120480,3.4330905830057096e-07,2290384
str120683,6.794820827973895e-07,4533160
str120751,6.336146889122559e-07,4227156
str120802,7.208725178174065e-07,4809296
str120899,1.0312740997832564e-06,6880138
str121,2.9634400907295544e-06,19770570
str121649,3.553195631868731e-07,2370512
str122,7.899989331235069e-06,52704724
str12202,2.1855317645017749e-07,1458076
str122551,2.6072571525907907e-06,17394298
str122629,6.57001357921596e-07,4383180
str122834,3.3393004831971914e-07,2227812
str122884,3.3286941617395896e-07,2220736
str123,2.196090720250211e-06,14651204
str123001,6.336146889122559e-07,4227156
str123007,6.360453292282038e-07,4243372
str123015,3.3172004826925443e-07,2213068
str123026,6.142403151654525e-07,4097900
str123027,1.1977157028785322e-06,7990552
str123035,3.1198833322291844e-07,2081428
str123060,1.2679680430611294e-07,845924
str123063,5.061541651118769e-07,3376804
str123367,7.138467441898019e-06,47624236
str1234,1.6578524627073845e-05,110603512
str123519,4.795526235386216e-07,3199332
str124,4.372807966102526e-06,29173158
str124175,4.524366543898647e-07,3018428
str125,1.8590639138565224e-06,12402732
str125994,3.98361202802381e-07,2657664
str126,1.7770049212068195e-06,11855276
str126759,2.5078374283997875e-07,1673102
str127,3.5994170694407335e-06,24013486
str128,6.726146545342254e-07,4487344
str1284,8.64217491926243e-06,57656210
str128850,4.20564928214443e-07,2805796
str129,1.082144571644815e-06,7219520
str1295,8.079594704299954e-07,5390296
str13,4.882783164942458e-06,32575454
str130,1.8180029403198831e-06,12128794
str130215,2.43934301554979e-07,1627406
str1305,4.414757496360487e-06,29453024
str130668,3.4488441780480214e-07,2300894
str1308,1.0147924218431471e-05,67701806
str131,1.846536283347994e-06,12319154
str1315,8.82853170458132e-06,58899488
str131623,4.404129590529087e-07,2938212
str131635,2.507903380653057e-07,1673146
str131962,3.751969727563406e-07,2503124
str132,2.4688518523603494e-06,16470928
str132235,2.3024201421030642e-07,1536058
str132545,3.4335762314161484e-07,2290708
str132585,6.907850998758923e-07,4608568
str132586,3.751969727563406e-07,2503124
str1326,1.0386543068155904e-05,69293750
str132768,3.7519037753101364e-07,2503080
str132792,3.656386925597837e-07,2439356
str132847,4.456930364930654e-07,2973438
str132881,3.548177264960866e-07,2367164
str133,6.876325821696135e-07,4587536
str1330,1.9441746971347837e-06,12970548
str133228,3.4740945977781617e-06,23177398
str133231,2.292125594933645e-07,1529190
str133279,2.1654972686563385e-07,1444710
str133283,2.1552027214869192e-07,1437842
str133295,4.1433303984642064e-07,2764220
str133300,1.7211949253583497e-07,1148294
str133330,3.5301782954776994e-07,2355156
str133346,5.175080253819911e-06,34525512
str133354,3.308009136850541e-07,2206936
str1334,1.541825511468685e-05,102862782
str1335,8.484541539374257e-07,5660456
str134,1.176420679603335e-05,78484824
str135,6.6659378339836826e-06,44471758
str1351,2.6709673290320296e-06,17819340
str136,2.4693644812380347e-06,16474348
str137,1.2087728979221216e-06,8064320
str138,4.6734486145845e-07,3117888
str139,5.004175182093141e-07,3338532
str1394,1.0387550338933109e-05,69300470
str13957,2.92659916205325e-06,19524786
str14,1.3298180661772015e-06,8871872
str140,7.856864951520005e-07,5241702
str141,8.081501923551318e-06,53915684
str1411,1.0391321908471212e-05,69325632
str142,3.5204113663344354e-07,2348640
str142298,4.800568584931634e-07,3202696
str143,2.008062644876881e-06,13396776
str143210,4.78518971860108e-07,3192436
str143493,2.575360544428908e-07,1718150
str143494,4.96915153777738e-07,3315166
str1436,2.670960733806703e-06,17819296
str144,3.0878515219480995e-07,2060058
str144042,4.4040216686601005e-07,2938140
str144044,1.835688037034081e-07,1224678
str1441,3.8348926947309384e-07,2558446
str144182,1.3745843572157048e-06,9170530
str144198,9.075389789436919e-07,6054640
str14428,2.268211907464088e-07,1513236
str144790,6.241745232056452e-06,41641760
str145,5.096382427823194e-07,3400048
str145370,2.5762658889965156e-07,1718754
str1455,1.5632627817628653e-05,104292968
str145804,1.1159960645501973e-07,744536
str145818,4.563155462310154e-07,3044306
str146,8.021991406728494e-07,5351866
str146318,4.5242586220296604e-07,3018356
str146342,3.343098733419572e-06,22303460
str146618,4.534109490404358e-07,3024928
str146626,4.4040216686601005e-07,2938140
str146738,2.360554055530373e-07,1574842
str146740,1.0764127212697627e-07,718128
str1468,1.4456703938362217e-06,9644780
str146887,5.101877449652415e-07,3403714
str147,8.011630907305805e-07,5344954
str147018,4.4091719400745044e-07,2941576
str147046,3.879712646920966e-06,25883476
str147050,4.273178393832939e-07,2850848
str147190,2.3707826504465228e-07,1581666
str147286,4.2736220726276603e-07,2851144
str147363,2.4112113817006836e-07,1608638
str147390,4.4573080914721065e-07,2973690
str147549,2.3469199260817653e-07,1565746
str148,2.980289392525047e-07,1988298
str148728,4.68053548398127e-07,3122616
str148764,4.318049908693704e-07,2880784
str148930,4.0832119217794265e-07,2724112
str149,1.000098769445766e-06,6672152
str149917,1.929873850362216e-07,1287514
str15,3.003966251448772e-07,2004094
str150,7.354737471253196e-07,4906708
str150120,4.093062790154124e-07,2730684
str150244,4.210859510152715e-07,2809272
str1505,8.107378589904548e-07,5408832
str150520,3.9657929283222876e-07,2645776
str150605,1.877819535554471e-07,1252786
str150668,4.0832119217794265e-07,2724112
str150669,1.877819535554471e-07,1252786
str150737,7.07006955916417e-07,4716792
str150748,3.9760215232384376e-07,2652600
str150749,1.8255673639869174e-07,1217926
str151,5.101916421438437e-07,3403740
str151130,3.847996208323697e-07,2567188
str151131,1.7831660607940618e-07,1189638
str1512,8.079660656553224e-07,5390340
str151212,3.61373380471068e-07,2410900
str151220,4.0832119217794265e-07,2724112
str151231,1.7836097395887835e-07,1189934
str151242,3.848373934865149e-07,2567440
str151285,1.7836097395887835e-07,1189934
str151293,1.7211289731050804e-07,1148250
str151329,1.6689427537907965e-07,1113434
str151352,2.5285884055421056e-07,1686946
str151411,3.9834801235172715e-07,2657576
str151715,4.5107504014282034e-07,3009344
str151726,4.5095063021051665e-07,3008514
str151727,2.3426749992349691e-07,1562914
str151728,4.509638206611705e-07,3008602
str151730,4.210859510152715e-07,2809272
str151742,4.2109254624059843e-07,2809316
str151841,2.589935992401452e-07,1727874
str152,7.5753780365193505e-06,50539082
str152032,4.210991414659254e-07,2809360
str152394,2.2705412211363766e-07,1514790
str152410,2.3426749992349691e-07,1562914
str152434,2.2705412211363766e-07,1514790
str152795,3.6422551564200143e-07,2429928
str153,1.5029025600915558e-06,10026604
str153060,2.2240149042844876e-07,1483750
str15320,3.8255844335308666e-07,2552236
str15335,2.027391751395304e-06,13525730
str153398,4.0935064689488455e-07,2730980
str1534,9.563579160324143e-06,63803352
str153784,2.1620437688487754e-07,1442406
str1539,9.913044561684446e-06,66134808
str154,2.3368472183097067e-07,1559026
str154128,4.093572421202115e-07,2731024
str154129,4.0834097785392347e-07,2724244
str154200,2.1466649025182218e-07,1432146
str154264,2.1466649025182218e-07,1432146
str154265,7.218821868583676e-07,4816032
str154308,3.8587344342878374e-07,2574352
str154351,2.2236371777430355e-07,1483498
str154375,2.1466649025182218e-07,1432146
str154395,2.1466649025182218e-07,1432146
str154397,2.263969978446986e-07,1510406
str154439,2.0945446354572075e-07,1397374
str15451,3.8358130284470166e-07,2559060
str154518,2.1465989502649525e-07,1432102
str154541,2.2537413835308363e-07,1503582
str154599,3.741273471214982e-07,2495988
str154650,2.100006681159794e-07,1401018
str154659,2.0949223619986596e-07,1397626
str154665,4.854634443464096e-07,3238766
str154679,7.084785905132335e-07,4726610
str154683,3.4136286726318397e-09,22774
str154685,2.0681397515118826e-07,1379758
str154690,2.0226566793935282e-07,1349414
str154695,1.9709800911272353e-07,1314938
str154697,3.9461421546776913e-07,2632666
str154699,4.6172063316941464e-07,3080366
str154700,1.8984026342339213e-07,1266518
str154733,7.866742800361949e-07,5248292
str154735,7.866143234423136e-07,5247892
str154867,3.9837918978054543e-07,2657784
str154904,3.9838578500587234e-07,2657828
str155,7.742569696604082e-07,5165450
str15515,4.725549395752504e-06,31526470
str15517,1.9776682491746945e-07,1319400
str155275,1.1458388595886758e-06,7644456
str155291,3.9837918978054543e-07,2657784
str155350,3.8730280862691397e-07,2583888
str1556,1.6240256719186814e-06,10834676
str1557,1.1099654204895375e-05,74051266
str155719,4.0844590189321577e-07,2724944
str155817,3.9838578500587234e-07,2657828
str15582,1.9674396542585445e-07,1312576
str156,3.692360282360678e-06,24633556
str156351,4.0844590189321577e-07,2724944
str15636,1.5884870004614794e-07,1059758
str156379,8.730694834468783e-06,58246770
str156429,6.620838184283199e-06,44170876
str15643,3.7798495437182107e-07,2521724
str15680,2.0443819511864175e-07,1363908
str157,6.661573293732094e-07,4444264
str157079,3.7519037753101364e-07,2503080
str1571,5.557914527483148e-05,370795882
str157231,3.641008059267283e-07,2429096
str157259,3.7621323702262864e-07,2509904
str157299,1.679954381823036e-06,11207804
str157309,8.073790906012244e-07,5386424
str157317,3.4294452220977265e-07,2287952
str157319,3.419216627181577e-07,2281128
str157323,8.062078385397532e-07,5378610
str15760,4.2223052239246555e-07,2816908
str15764,3.533529869075664e-07,2357392
str15765,4.0830770194431935e-07,2724022
str157652,2.225879554354196e-07,1484994
str157830,1.0763887386322102e-07,718112
str157840,3.433510279162879e-07,2290664
str157841,3.5301782954776994e-07,2355156
str157845,1.965383143088416e-07,1311204
str157846,1.0865513812950906e-07,724892
str157850,1.0571966329308059e-07,705308
str157852,4.7502230330495057e-07,3169108
str157856,2.3047614470941288e-07,1537620
str157858,1.9216987687865005e-07,1282060
str157859,2.3046295425875902e-07,1537532
str157860,2.3033434736488363e-07,1536674
str158,8.021550725763466e-07,5351572
str158295,4.0744102937976513e-07,2718240
str15843,1.4572839860710296e-07,972226
str15890,1.408797088599222e-07,939878
str159,8.01144204403508e-07,5344828
str15902,5.347099918626934e-07,3567314
str159489,4.2006548978741175e-07,2802464
str159555,4.563140473161684e-07,3044296
str16,6.31939201896243e-07,4215978
str160,9.19230814533515e-07,6132642
str16005,4.356534247608294e-06,29064588
str160053,8.233904989972256e-07,5493244
str160139,3.8483439565682084e-07,2567420
str160363,3.97604550587599e-07,2652616
str160368,3.9658169109598404e-07,2645792
str160426,3.8586924646721206e-07,2574324
str160465,1.3333507086886875e-07,889544
str160482,1.8941577073871251e-07,1263686
str160491,1.875379302183502e-07,1251158
str160492,1.9375153182523876e-07,1292612
str160506,2.9691344682334306e-07,1980856
str16053,1.9901302272129227e-07,1327714
str160539,6.970823409312453e-08,465058
str160544,1.8162261266602109e-07,1211694
str160549,1.280205183872303e-07,854088
str160559,2.3942376699728877e-07,1597314
str160561,2.3942376699728877e-07,1597314
str160564,1.3137988634239956e-07,876500
str160589,4.2006309152365653e-07,2802448
str160598,2.2537413835308363e-07,1503582
str160605,1.472282128030437e-07,982232
str160616,1.9297689263229236e-07,1287444
str160619,1.767499402812878e-07,1179186
str160623,2.549435313234634e-07,1700854
str160626,3.965990785082096e-07,2645908
str160629,1.7828782691434315e-07,1189446
str160632,2.3645081928968448e-07,1577480
str160646,1.7673015460530697e-07,1179054
str160648,5.224593608178966e-07,3485584
str160649,1.767499402812878e-07,1179186
str160652,2.2537413835308363e-07,1503582
str160657,1.4126193214591548e-07,942428
str160664,1.1611433797428166e-07,774656
str160669,2.498691050003195e-07,1667000
str160672,1.2086949543500758e-07,806380
str160673,1.6205278042316464e-07,1081134
str160674,6.48289664830643e-08,432506
str160677,4.1373497282245467e-07,2760230
str160678,5.649071303710103e-07,3768774
str160679,2.1690976621189104e-07,1447112
str160681,1.4746297284638593e-06,9837982
str160682,1.9504119815962554e-07,1301216
str160683,2.443369100828919e-07,1630092
str16073,1.038064483823283e-07,692544
str16078,1.0482930787394328e-07,699368
str16088,1.9775363446681556e-07,1319312
str16090,1.9082265221413723e-07,1273072
str16091,1.8287540569517086e-07,1220052
str16094,1.038064483823283e-07,692544
str160945,2.1883767048814425e-07,1459974
str16098,9.440825229143447e-08,629844
str161,1.0150078758632595e-06,6771618
str16114,5.712463410420802e-07,3811066
str161277,1.248721976425232e-07,833084
str16135,3.044155156327408e-07,2030906
str161383,2.1708843686165733e-07,1448304
str161389,1.8409042607017542e-07,1228158
str161394,1.2159736848472658e-07,811236
str161412,1.1507409107044109e-07,767716
str161414,1.1506749584511414e-07,767672
str161415,2.1384568448158719e-07,1426670
str161438,3.1830985669879334e-07,2123602
str161439,1.0524480706954069e-07,702140
str161595,7.713148995986528e-07,5145822
str1616,1.0144610117704681e-05,67679696
str161606,7.598712843074984e-07,5069476
str161672,2.3324464043188194e-07,1556090
str161679,4.2109254624059843e-07,2809316
str161715,2.3478912229026423e-07,1566394
str161747,3.9838578500587234e-07,2657828
str161757,6.324248503066815e-07,4219218
str161764,4.082966099744513e-07,2723948
str161780,3.6524837513361643e-07,2436752
str16179,1.4923256173649556e-07,995604
str161793,2.3426749992349691e-07,1562914
str161917,2.2859200874669302e-07,1525050
str161918,2.208258311412482e-07,1473238
str161919,3.983923802311993e-07,2657872
str162,4.855704668664878e-07,3239480
str162089,2.1466649025182218e-07,1432146
str162104,3.6524837513361643e-07,2436752
str162108,3.8627994913529897e-07,2577064
str162142,3.8638847057022413e-07,2577788
str162169,2.1466649025182218e-07,1432146
str162201,3.539963211599128e-07,2361684
str162206,1.9607514962110856e-07,1308114
str162223,3.9838578500587234e-07,2657828
str162257,4.0845249711854267e-07,2724988
str162260,3.9838578500587234e-07,2657828
str162384,1.5710696099389614e-07,1048138
str162386,3.9737611596491126e-07,2651092
str162394,4.0999038375159806e-07,2735248
str162430,3.762198322479556e-07,2509948
str162569,3.9839897545652626e-07,2657916
str162576,1.5710696099389614e-07,1048138
str162578,2.8957386038336366e-07,1931890
str162599,3.973695207395843e-07,2651048
str162690,1.4931799988277642e-07,996174
str162780,1.534903792509761e-07,1024010
str162787,6.549502428449166e-07,4369496
str162791,1.3530434519490007e-07,902682
str162808,4.2157219899164886e-07,2812516
str162882,2.4645787459144294e-07,1644242
str162883,2.459494426753295e-07,1640850
str162884,4.2108834927902675e-07,2809288
str162887,4.2108834927902675e-07,2809288
str162890,4.210817540536998e-07,2809244
str162891,4.210949445043537e-07,2809332
str162981,4.2007868023806567e-07,2802552
str163,9.534072721777338e-07,6360650
str163015,3.652106024794712e-07,2436500
str163267,1.1935199404387189e-07,796256
str163368,1.1176808448382618e-07,745660
str163371,1.1176808448382618e-07,745660
str163373,2.523228286049117e-07,1683370
str1636,7.745210784564553e-07,5167212
str1639,1.4999275139031658e-06,10006756
str164,8.006888340729795e-07,5341790
str1641,8.484541539374257e-07,5660456
str1642,2.0700789276277858e-05,138105172
str1648,9.748037719880749e-06,65033966
str165,8.016919078886136e-07,5348482
str166,3.716691267723649e-07,2479588
str16648,2.947756944685053e-07,1966594
str167,1.6428205651856221e-06,10960066
str1671,2.879555719579135e-06,19210936
str1673,2.6708719980477582e-06,17818704
str168,6.627682829040688e-07,4421654
str169,1.4445543018411213e-06,9637334
str17,2.9856006473940217e-06,19918414
str170,1.0672522530736083e-06,7120166
str17049,2.856449047863221e-07,1905678
str17061,3.324074506181035e-07,2217654
str171,1.3007619016504456e-06,8678024
str172,2.3460685424486508e-07,1565178
str1725,2.6708917837237393e-06,17818836
str173,7.741193692774506e-07,5164532
str1734,7.1179179189111415e-06,47487140
str174,6.720603558237928e-07,4483646
str1742,1.4999407043538197e-06,10006844
str175,8.461958888288865e-07,5645390
str1750,6.91818211945061e-06,46154604
str176,1.7926715791880031e-06,11959796
str177,3.1833132115940287e-06,21237452
str1778,1.0179080362658919e-05,67909664
str178,3.804072007646256e-07,2537884
str1784,6.978301195701329e-06,46555688
str179,1.5457709251507468e-06,10312600
str1795,1.0246888272508975e-05,68362044
str18,2.099044977393938e-06,14003764
str180,5.77119389195723e-07,3850248
str1803,9.207150100367496e-06,61425438
str1806,1.2180323244764772e-05,81260942
str1808,1.127183964968448e-10,752
str181,2.229411897082713e-06,14873506
str1811,1.1106401120404838e-05,74096278
str18195,3.1227342682682403e-07,2083330
str182,8.016511374047744e-07,5348210
str183,4.765830034219778e-06,31795202
str1835,7.511665761597326e-06,50114026
str184,2.3213064691756738e-07,1548658
str185,1.0114635418159665e-06,6747972
str186,4.0288103063212284e-07,2687818
str1863,2.6719901885236446e-06,17826164
str187,1.2935539199340355e-06,8629936
str1876,5.124237961557476e-06,34186318
str1879,8.187126555643096e-06,54620358
str188,1.3029716019179409e-06,8692766
str1887,1.4137902737376567e-06,9432092
str189,1.0503172133488656e-06,7007184
str1896,8.474312944458106e-07,5653632
str19,1.330766879275373e-06,8878202
str190,2.3318828123363352e-07,1555714
str191,1.4982796069203382e-06,9995762
str19173,5.230556291440462e-07,3489562
str192,4.086374632106665e-07,2726222
str1924,1.4113035740064298e-05,94155020
str193,5.105121101381393e-07,3405878
str194,8.004741894668844e-07,5340358
str195,5.035873933495216e-06,33596798
str1954,9.728980216732609e-06,64906824
str1957,1.127590080957103e-05,75227094
str196,3.782217829176522e-07,2523304
str1962,2.6718948575393733e-06,17825528
str1963,1.5629039415484855e-05,104269028
str197,1.545692082229793e-06,10312074
str198,1.7838315789861443e-06,11900820
str1981,1.3784879511735348e-05,91965728
str1982,1.5559319789638893e-05,103803894
str1984,4.701372199052839e-06,31365172
str199,5.090728521020187e-07,3396276
str1996,1.8786537416234384e-05,125334254
str20,2.015148315141773e-06,13444048
str200,1.5959479990040683e-06,10647356
str2008,8.786494038130354e-06,58619034
str201,5.113667913839173e-07,3411580
str2013,1.771466520781925e-05,118183266
str2014,4.484537378583299e-06,29918560
str2016,1.4486426520429964e-05,96646094
str2017,2.084129275751117e-06,13904254
str2019,3.671876711627071e-07,2449690
str202,1.4871633546317756e-07,992160
str203,7.741958139346493e-07,5165042
str2032,2.9480561280885207e-06,19667936
str204,1.1182324455019697e-06,7460280
str205,3.151378530995032e-07,2102440
str2050,1.6638508501205362e-05,111003694
str2059,7.087543908450875e-06,47284500
str206,4.937977106788797e-07,3294368
str2069,6.923611189026562e-06,46190824
str207,5.2939163213734344e-06,35318326
str208,1.4650273801707997e-07,977392
str2083,8.107378589904548e-07,5408832
str2085,9.989386093541627e-06,66644120
str209,7.7361453475697e-07,5161164
str21,6.438175024930369e-07,4295224
str210,1.9642079938483425e-07,1310420
str211,3.269427068687924e-07,2181196
str212,9.42835725544583e-07,6290122
str2126,6.737238515210295e-07,4494744
